site,ccv2m,ccv5m,chm,dem,disttowater,NDVI_max,NDVI_median,ndviresi,pisr_1,pisr_10,pisr_11,pisr_12,pisr_2,pisr_3,pisr_4,pisr_5,pisr_6,pisr_7,pisr_8,pisr_9,Pseudo_albedo,scd,shrubs,slope,snoweffect,snowresi,swi_suct2,swi_suct256,swi_suct64,swi_suct8,swi,tpi1000,tpi15,tpi250,tpi30,tpi500,tpi90,TWI_d8,TWI_Dinf,TWI_FD8f,watereffect,windexp,windexp100,ccv2m5,ccv5m5,chm5,eos1,eos3,moist_cv_july,moist_cv_summer,moist_max_july,moist_max_summer,moist_mean_july,moist_mean_summer,moist_min_july,moist_min_summer,moist_sd_july,moist_sd_summer,sos1,sos3,T1_FDD_days,T1_FDD,T1_ft,T1_GDD3_days,T1_GDD3,T1_GDD5_days,T1_GDD5,T1_max,T1_mean_1,T1_mean_10,T1_mean_11,T1_mean_12,T1_mean_2,T1_mean_3,T1_mean_4,T1_mean_5,T1_mean_6,T1_mean_7,T1_mean_8,T1_mean_9,T1_mean,T1_min,T1_TDD_days,T1_TDD,T3_FDD_days,T3_FDD,T3_frost,T3_ft,T3_GDD3_days,T3_GDD3,T3_GDD5_days,T3_GDD5,T3_max,T3_mean_1,T3_mean_10,T3_mean_11,T3_mean_12,T3_mean_2,T3_mean_3,T3_mean_4,T3_mean_5,T3_mean_6,T3_mean_7,T3_mean_8,T3_mean_9,T3_mean,T3_min,T3_TDD_days,T3_TDD,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15
MI11205E,0,0,0,90390,80,503,393,13,0,398,44,0,222,936,2929,5266,6741,6067,3880,1632,1532,150,0,1182,254,-9,673,649,649,649,646,13976,45,2009,100,5840,439,897,628,648,0,1113,1061,0,0,0,278.75,271.8,0.13,0.21,30.85,39.57,23.99,25.92,21.65,19.7,2.69,4.8,152.89,157.46,228.93,-827.25,9.15,104.09,820.93,84.26,737.36,15.29,-4.88,-0.13,-2.12,-3.72,-5.52,-5.14,-3.48,-1.25,5.66,9.88,8.79,3.24,0.02,-8.14,137.99,879.36,233.2,-1355.24,-7.19,91.55,103.18,910.03,82.97,833.37,24.45,-7.48,-3.05,-5.66,-7.11,-7.78,-6.82,-3.86,-0.69,8.01,10.4,8.68,2.45,-1,-16.01,132.6,954.29,729,69,-6,87,-67,41,77,-84,39,58,-38,18,-5,15,-5
MI11205S,0,0,1,90453,86,516,388,27,0,434,44,0,224,1182,3313,5644,7068,6416,4265,1945,1573,152,0,705,275,-7,748,759,759,746,704,14322,20,2434,59,6269,422,558,841,759,0,1111,1051,0,0,0,278.54,271.67,0.13,0.19,30.44,38.83,24.03,25.35,20.06,18.71,2.75,4.53,154.86,158.7,228.48,-720.79,8.9,103.34,814.84,83.37,733.91,14.83,-4.11,-0.1,-1.91,-3.24,-5.06,-4.47,-3.13,-1.22,5.3,9.52,8.74,3.18,0.2,-7.21,138.07,869.6,234.16,-1262.85,-6.33,87.61,102.29,910.41,81.83,825.51,24.48,-6.89,-3.19,-5.5,-6.66,-7.22,-6.44,-3.59,-0.71,7.89,10.37,8.69,2.44,-0.8,-15.1,131.69,947.38,839,-3,144,33,63,-81,30,70,31,27,-102,22,38,51,15
MI11205W,0,0,0,90380,86,534,396,44,0,427,44,0,224,1061,3122,5459,6911,6245,4073,1786,1518,147,0,940,263,-12,695,679,679,679,654,13977,48,2010,112,5842,471,477,637,684,0,1118,1062,0,0,0,278.68,271.51,0.12,0.2,29.73,38.09,23.79,25.57,20.36,18.32,2.71,4.5,152.9,157.67,225.4,-837.59,10.09,104.34,817.02,84.13,728.19,14.68,-4.89,-0.17,-2.14,-3.9,-5.83,-5.2,-3.56,-1.28,5.43,9.46,8.62,3.14,-0.11,-8.44,138.96,879.7,230.84,-1383.31,-7.26,93.33,104.32,917.13,83.92,841.91,24.59,-7.83,-3.28,-5.87,-7.33,-7.94,-7.08,-4.05,-0.58,8.18,10.43,8.65,2.44,-1.12,-15.95,135.08,962.04,719,16,100,-96,6,-16,34,-94,-19,-9,-66,80,17,44,28
MI11206N,0,0,3,91681,153,476,391,-5,0,404,44,0,223,1012,3047,5388,6850,6181,4000,1708,1640,146,0,1020,155,-14,1030,470,470,835,810,11738,-12,-95,-11,3238,-23,476,465,469,0,1033,999,0,0,4,278.4,271.73,0.11,0.17,28.78,34.86,24.2,24.03,20.74,17.59,2.45,4.32,155.34,160.49,231.73,-482.19,8.1,103.23,839.11,83.98,768.23,15.42,-2.63,-0.07,-1.52,-2.14,-3.16,-2.87,-2.05,-0.96,5.07,10.04,9.06,3.19,1.08,-4.31,132.07,886.77,235.28,-952.42,-6.86,82.42,99.75,892.99,80.11,805.04,24.69,-5.07,-3.15,-4.46,-5.39,-4.98,-4.44,-2.66,-0.74,7.23,10.33,8.59,2.37,-0.12,-13.83,129.77,931.65,969,98,107,176,-15,13,15,10,22,14,33,-11,13,13,-23
MI11206E,0,0,3,91805,160,478,348,-2,0,379,44,0,222,909,2874,5214,6697,6016,3820,1569,1470,144,0,1240,172,-16,996,452,452,751,730,11738,-12,-95,-12,3238,-34,399,389,446,0,1033,999,0,0,4,278.34,271.56,0.11,0.18,27.49,33.48,22.59,23.94,18.97,17.67,2.44,3.64,154.98,160.65,229.8,-503.9,7.98,104.14,841.79,85.25,768.03,15.44,-2.76,-0.18,-1.51,-2.28,-3.2,-3.04,-2.12,-0.95,5.35,9.99,9.01,3.15,1.06,-4.43,132.77,886.12,234.55,-974.38,-7.68,86.42,100.4,896.52,81.18,814.08,24.88,-5.29,-3.17,-4.35,-5.42,-5.09,-4.57,-2.71,-0.7,7.61,10.38,8.58,2.36,-0.21,-13.94,131.64,933.57,960,70,-42,-58,45,-30,66,-105,-17,-14,-47,-4,2,-51,-7
MI11206S,0,0,4,91861,156,449,345,-30,0,415,44,0,223,1080,3142,5477,6923,6259,4089,1791,1572,148,0,965,189,-12,959,426,426,506,452,11893,25,-27,63,3380,10,412,422,424,0,1049,1019,0,0,4,277.89,271.31,0.12,0.17,28.3,33.28,22.76,23.83,18.88,17.38,2.46,3.71,153.77,159.49,231.4,-613.27,8.74,103.63,841.39,84.38,756.74,15.34,-3.47,-0.26,-1.73,-2.84,-3.73,-3.58,-2.59,-1.05,5.59,10.01,9.01,3.13,0.68,-5.5,130.43,884.9,235.99,-1084.85,-7.68,84.83,100.07,885.6,80.88,803.87,24.44,-5.79,-3.23,-4.83,-6.06,-5.58,-5.1,-3.18,-0.79,7.76,10.3,8.55,2.35,-0.47,-14.41,131.11,929.62,1041,11,-144,85,-39,94,75,-127,12,9,20,-1,15,-32,-6
MI11206W,0,0,5,91767,150,472,329,-8,0,416,44,0,223,1074,3131,5466,6913,6247,4076,1783,1568,143,0,990,177,-17,969,422,422,579,516,11855,30,-9,69,3392,24,372,408,421,0,1052,1023,0,0,5,278,271.34,0.11,0.17,28.51,33.03,23.06,23.55,19.13,17.32,2.51,3.82,152.42,157.81,230.36,-647.36,9.36,104.08,837.49,84.98,771.7,15.47,-3.68,-0.32,-1.8,-3.08,-3.92,-3.77,-2.63,-1.02,5.67,10.02,8.95,3.07,0.63,-5.88,131.43,886.89,233.91,-1131.69,-8.09,89.56,101.35,891.07,81.98,814.11,24.52,-6.2,-3.25,-4.93,-6.08,-5.96,-5.32,-3.26,-0.71,7.97,10.28,8.54,2.34,-0.54,-14.72,132.94,939.04,1075,-4,-61,134,-24,-35,45,-93,16,13,40,19,-34,35,25
MI11207N,0,0,2,89088,45,422,350,-77,0,431,44,0,223,1020,3061,5394,6849,6180,4005,1701,1784,139,0,1069,58,-20,668,448,448,448,437,9632,17,683,92,2084,159,507,447,446,0,1075,1059,0,0,2,277.94,271.55,0.12,0.17,26.69,30.83,22.1,20.67,17.38,15.45,2.49,3.8,148.35,152.21,227.88,-841.13,10.48,105.31,859.24,85.17,769.82,15.78,-5.18,-0.41,-2.4,-3.97,-5.85,-5.15,-3.52,-1.08,6.89,9.95,8.92,3.09,0.07,-8.17,134.64,900.65,228.75,-1368.22,-8.67,99.96,105.5,918.2,83.51,823.97,24.5,-7.98,-3.29,-5.84,-7.33,-7.63,-6.58,-4.04,-0.47,7.81,10.43,8.74,2.5,-1.01,-16.63,136.26,945.5,1269,-105,-104,25,29,-32,14,-50,1,-33,-123,45,-41,-26,8
MI11207E,0,0,2,89261,45,470,307,-28,0,497,43,0,221,1144,3209,5487,6888,6238,4118,1866,1824,138,0,1386,74,-21,619,366,366,366,372,9827,34,628,113,2172,211,275,322,363,0,1081,1067,0,0,2,278.22,271.62,0.12,0.17,25.95,31.24,20.87,20.54,16.9,15.33,2.51,3.42,147.75,152.61,227.26,-862.8,10.15,106.55,866.82,86.46,776.76,15.98,-5.34,-0.43,-2.46,-4.37,-6.13,-5.3,-3.59,-1.05,7,10.02,8.94,3.08,0.07,-8.41,137.17,918.78,227.59,-1336.86,-8.41,101.93,105.54,923.76,83.67,824.58,24.59,-7.81,-3.11,-5.76,-7.57,-7.47,-6.68,-3.88,-0.42,7.76,10.45,8.74,2.48,-1,-16.48,137.23,951.48,1380,-130,-34,46,75,54,35,-30,30,42,-114,44,12,-48,-3
MI11207S,0,0,2,89203,37,513,345,15,0,524,44,0,223,1233,3360,5664,7058,6414,4289,1971,1742,152,0,1040,129,-7,727,448,448,448,437,9858,24,619,103,2186,177,361,430,447,0,1075,1058,0,0,2,278.75,271.76,0.12,0.18,27.64,33.12,21.36,21.96,17.71,15.94,2.61,3.69,150.97,154.65,227.88,-800.73,8.53,105.87,872.01,86.21,784.55,15.72,-4.73,-0.33,-2.13,-3.68,-5.6,-4.8,-3.37,-1.11,6.66,10,8.99,3.23,0.3,-7.75,136.73,910.82,229.86,-1280.86,-7.69,92.94,104.22,920.93,82.65,823.06,24.73,-7.25,-3.1,-5.7,-7.22,-7.02,-6.3,-3.78,-0.64,7.93,10.49,8.75,2.51,-0.89,-15.72,134.32,941.85,1257,-151,-64,35,-7,60,35,-11,16,50,-70,38,4,0,-23
MI11207W,0,0,1,89099,37,488,350,-11,0,592,44,0,223,1411,3634,5927,7278,6655,4571,2213,1718,152,0,801,119,-7,757,470,470,470,441,9764,38,482,120,2083,174,445,486,470,0,1079,1065,0,0,2,278.43,271.48,0.12,0.17,27.38,33.5,22.22,22.4,17.94,16.64,2.44,3.7,150.94,153.94,228.9,-811.69,8.4,105.52,865.55,86.09,779.34,15.73,-4.81,-0.37,-2.24,-3.98,-5.65,-4.86,-3.41,-1.12,6.59,10.08,9.02,3.21,0.15,-7.89,134.49,910,230.69,-1329.81,-7.89,94.67,104.17,916.89,82.76,813.12,24.65,-7.51,-3.26,-5.98,-7.35,-7.34,-6.52,-3.9,-0.65,7.91,10.46,8.73,2.5,-0.98,-16.39,133.77,948.36,1163,-101,-36,128,73,58,-11,-53,75,-6,-75,50,-2,26,-4
MI11208N,0,0,5,87135,90,622,475,109,0,378,43,0,221,769,2701,5030,6527,5839,3639,1417,1643,156,0,1449,210,-3,518,518,518,518,535,9103,59,1525,138,2370,672,286,407,517,0,1075,1061,0,0,3,279.72,270.98,0.12,0.16,29.59,33.37,24.2,24.72,19.26,18.33,2.53,3.99,152.68,158.47,223.15,-862.19,7.69,103.91,806.86,82.88,711.44,14.03,-5.18,0.02,-2.09,-4.01,-5.72,-5.61,-3.72,-1.23,5.39,9.47,8.59,3.31,-0.11,-7.81,136.61,862.75,228.63,-1351.72,-4.81,92.69,107.28,930.83,86.25,858.82,24.18,-7.4,-2.86,-5.61,-7.2,-7.92,-6.92,-4.09,-0.26,8.4,10.52,8.72,2.63,-0.86,-15.57,137.56,982.35,198,111,-56,-50,-9,78,112,-143,-72,-74,-9,70,35,18,-29
MI11208E,0,0,2,87230,91,617,485,104,0,381,44,0,223,1000,3117,5451,6901,6238,4069,1786,1651,157,0,928,212,-2,573,582,582,582,558,9103,52,1525,117,2370,643,568,597,579,0,1073,1055,0,0,2,280.55,272.4,0.14,0.21,30.94,39.74,24.47,24.99,20.16,18.31,2.75,5.19,151.34,159.25,223.76,-875.77,7.74,105.26,805.6,82.74,720.88,14.13,-5.2,0.31,-1.94,-3.82,-5.7,-5.63,-3.46,-1.28,5.21,9.46,8.66,3.6,0.04,-7.86,137.93,872.78,228.6,-1369.08,-5.03,103.58,108.36,966.53,86.56,863.11,24.99,-8.18,-2.64,-5.29,-7.35,-8.4,-7.21,-3.84,-0.24,8.41,10.69,8.95,2.78,-0.73,-16.31,137.38,997.66,187,210,40,154,-92,92,30,-59,25,75,-19,-54,-25,27,-6
MI11208S,0,0,2,87312,99,565,429,53,0,374,43,0,219,735,2774,5121,6602,5927,3744,1418,1523,155,0,1364,115,-4,545,545,545,545,551,9103,-81,1525,-39,2370,561,516,514,545,0,1050,1023,0,0,3,280.09,271.84,0.13,0.18,29.48,35.69,23.5,22.8,19.22,16.99,2.64,4.19,154.62,160.85,225.07,-633.33,6.76,104.56,812.31,83.51,724.48,14.67,-3.51,0.14,-1.45,-2.92,-2.73,-4.2,-2.78,-1.18,5.15,9.71,8.75,3.36,0.6,-3.87,137.63,864.68,233.14,-1135.41,-5.09,75.39,103.31,947.75,83.04,853.96,24.71,-5.87,-2.77,-4.26,-6.14,-5.62,-5.36,-3.32,-0.53,7.99,10.55,8.87,2.68,-0.51,-13.72,133.72,972.64,403,148,118,177,-16,26,83,-22,30,45,2,14,-12,15,83
MI11208W,0,0,5,87217,97,615,463,102,0,375,43,0,220,718,2728,5070,6559,5876,3684,1357,1470,152,0,1391,104,-7,549,549,549,549,557,9103,-38,1525,20,2370,619,495,541,550,0,1060,1037,0,0,5,279.99,271.75,0.12,0.18,30.65,37.1,25.02,25.53,20.94,19.78,2.61,4.72,152.56,159.17,223.94,-707.82,7.34,104.21,785.09,82.38,695.21,13.93,-4.18,0.3,-1.54,-3.38,-3.86,-4.64,-3.29,-1.17,5.23,9.36,8.48,3.44,0.26,-5.53,137.83,851.49,230.34,-1225.44,-6.31,80.66,103.98,934.18,84.13,853.56,24.47,-6.65,-2.76,-4.47,-6.62,-6.45,-5.94,-3.65,-0.42,8.35,10.53,8.87,2.66,-0.61,-14.81,135.76,967.95,337,189,51,87,-52,87,84,-140,-62,56,-17,24,-46,39,-87
MI11209N,0,0,0,75698,377,620,515,24,0,1157,44,0,458,2468,5101,7069,8012,7574,5939,3521,1460,154,0,2587,112,-1,571,571,571,571,593,3560,-21,112,-71,1386,-211,357,546,567,0,1045,1024,0,0,0,281.92,277.42,0.12,0.15,27.09,31.92,21.98,22.31,17.68,16.8,2.31,3.57,151.84,155.85,214.3,-393.85,6.31,115.53,1032.35,97.72,944.73,17.5,-2.68,0.88,-0.99,-1.91,-2.81,-2.46,-1.36,0.16,8.34,11.06,10.27,4.83,1.91,-3.57,156.89,1077.83,223.36,-797.61,-9.31,77.87,112.08,1076.87,94.98,1006.87,28.5,-4.49,-1.82,-3.15,-4.87,-4.15,-3.41,-1.83,0.32,8.97,11.52,10.16,3.8,0.78,-11.72,141.91,1117.91,81,189,-19,133,-55,38,83,12,-8,106,-28,-35,28,-25,24
MI11209E,0,0,0,75548,371,604,482,7,0,1184,44,0,467,2520,5167,7123,8069,7628,6005,3600,1440,155,0,2635,112,0,541,541,541,541,565,3648,1,178,-55,1437,-241,180,503,538,0,1047,1028,0,0,0,281.88,277.88,0.12,0.16,26.54,31.71,21.64,23.25,17.08,17.48,2.35,3.62,151.46,155.5,212.65,-427.39,6.5,115.85,1055.14,99.09,976.62,17.2,-3.05,0.86,-1.06,-2.17,-3.21,-2.66,-1.52,0.14,8.43,10.94,10.31,4.93,1.8,-4.12,157.71,1092.78,223.03,-805.94,-9.05,77.87,112.18,1074.6,95.22,1007.4,28.43,-4.85,-1.77,-3.2,-4.91,-4.29,-3.59,-1.91,0.29,8.95,11.54,10.16,3.85,0.71,-11.99,141.57,1119.72,273,112,-51,-12,-11,-17,83,-46,-45,126,-90,-58,12,-56,19
MI11209S,0,0,0,75281,368,546,461,-52,0,1102,44,0,439,2364,4975,6999,8000,7531,5839,3405,1428,156,0,2233,112,1,582,582,582,582,587,3476,-26,83,-86,1335,-304,330,552,578,0,1039,1018,0,0,0,281.79,278.14,0.13,0.17,28.52,32.93,23.51,25.19,18.89,17.95,2.4,3.79,152.46,156.18,209.75,-385.73,6.61,114.88,1073.55,98.85,1003.55,17.6,-2.59,0.79,-1.01,-1.77,-2.24,-2.45,-1.26,0.13,8.22,11.05,10.52,4.98,2.03,-3.15,156.83,1102.02,225.46,-747.97,-8.41,78.47,111.06,1061.35,93.83,1000.06,28.03,-4.53,-1.7,-3.07,-4.39,-3.95,-3.21,-1.78,0.13,8.72,11.47,10.15,3.88,0.86,-11.38,139.81,1100.67,573,55,-221,-18,-12,15,75,-55,-116,114,-112,-77,6,-26,18
MI11209W,0,0,0,75376,373,582,485,-16,0,1120,44,0,444,2399,5018,7025,7993,7547,5874,3439,1450,155,0,2340,112,0,596,596,596,596,605,3560,-38,112,-93,1386,-283,622,586,592,0,1039,1018,0,0,0,281.87,277.38,0.11,0.17,26.14,32.31,21.72,23.52,17.71,17.67,2.26,3.47,152.41,155.78,214.95,-373.16,6.31,115.14,1054.08,97.43,954.05,17.37,-2.5,0.75,-0.95,-1.71,-2.21,-2.38,-1.33,0.05,8.34,11.06,10.3,4.79,1.92,-3.13,158.06,1065.25,224.43,-772.68,-8.55,76.4,111.82,1068.06,94.38,1003.99,28,-4.57,-1.83,-3.04,-4.63,-3.98,-3.32,-1.81,0.22,8.82,11.5,10.1,3.82,0.8,-11.65,141.51,1116.06,291,104,-79,26,22,89,86,-87,-16,53,-43,-10,14,5,23
MI388N,0,0,0,61844,10,674,517,-21,0,732,44,0,295,1678,4037,6273,7537,6965,4971,2568,1481,156,0,514,112,5,1079,733,776,893,862,-2152,-16,72,-31,-214,-14,489,680,687,86,1011,998,0,0,0,282.87,277.97,0.07,0.13,43.65,46.05,37.38,38.92,34.71,31.27,2.36,3.81,157.87,161.94,188.75,-125.34,4.37,112.75,943.22,92.76,862.17,14.7,-0.74,1.32,-0.19,-0.6,-0.9,-0.83,-0.5,-0.18,5.49,10.49,9.96,5.11,2.27,-1.9,164.42,988.52,223.09,-623.3,-8.61,82.45,113.78,1145,98.63,1080.05,28.36,-3.44,-1.85,-3.74,-3.84,-2.88,-2.27,-1.15,0.17,9.27,12.24,10.69,4.32,1.33,-12.47,141.71,1178.81,-118,312,33,25,-60,81,-13,26,-44,30,70,23,-26,-36,14
MI388E,0,0,0,61839,5,684,504,-11,0,717,44,0,291,1644,3986,6227,7500,6924,4920,2524,1495,154,0,503,112,3,1074,811,914,965,926,-2226,-20,32,-36,-269,-25,596,662,800,93,1007,992,0,0,0,282.92,278.09,0.07,0.12,45.09,48.78,38.94,41.14,37.21,33.35,2.38,3.87,158.09,161.76,180.25,-125.5,4.62,113.15,954.93,92.94,874.52,14.73,-0.76,1.31,-0.17,-0.56,-0.85,-0.77,-0.47,-0.16,5.5,10.55,10.04,5.17,2.25,-1.97,166.67,1001.49,222.81,-606.08,-8.81,83.59,114.3,1146.41,98.43,1073.31,28.5,-3.5,-1.86,-4.11,-3.81,-2.91,-2.29,-1.14,0.22,9.27,12.24,10.67,4.34,1.33,-12.49,142.13,1176.42,-136,316,2,31,-93,-100,-7,56,-34,-7,109,-16,20,-7,49
MI388S,0,0,0,61803,3,706,526,11,0,641,44,0,269,1482,3744,6019,7326,6733,4684,2317,1459,150,0,287,110,-1,1110,1080,1080,1068,970,-2166,-10,73,-24,-232,-3,1000,1071,1082,97,1011,998,0,0,0,283.03,277.93,0.08,0.13,49.95,53.42,44.18,45.52,40.91,37.22,2.7,4.88,157.23,162.18,176.64,-108.31,5.24,113.02,939.51,90.94,858.63,14.5,-0.66,1.5,-0.08,-0.46,-0.97,-0.77,-0.46,-0.14,5.35,10.53,10.07,5.16,2.31,-2.09,164.84,995,219.23,-610.66,-10.31,91.17,116.75,1157.84,100.6,1095.93,28.42,-3.62,-1.86,-4.02,-3.94,-3.01,-2.32,-1.06,0.5,9.85,12.18,10.59,4.3,1.36,-12.83,145.51,1197.08,-241,334,-30,193,-114,6,-43,70,-44,52,96,26,19,-42,73
MI388W,0,0,0,61794,9,676,532,-19,0,702,44,0,287,1614,3944,6191,7474,6895,4881,2488,1466,153,0,372,112,2,1090,922,938,997,937,-2166,-11,73,-30,-232,-8,559,714,772,91,1011,997,0,0,0,282.95,277.98,0.08,0.13,45.62,48.9,39.5,40.79,36.38,32.39,2.54,4.24,157.89,162.27,182.07,-117.77,4.53,112.7,938.79,92.01,844.8,14.5,-0.68,1.38,-0.12,-0.55,-0.98,-0.76,-0.48,-0.17,5.27,10.42,9.91,5.2,2.33,-2.12,160.29,986.59,223.25,-610.4,-8.94,85.96,114.73,1152.08,99.08,1083.99,28.47,-3.48,-1.85,-3.96,-3.8,-2.95,-2.26,-1.04,0.24,9.44,12.24,10.68,4.33,1.36,-12.46,142.19,1185.8,-215,355,-110,120,-140,11,20,74,-24,25,70,13,15,-48,42
MI11224N,0,0,3,65552,40,666,521,-2,0,1012,41,0,375,2198,4655,6717,7730,7260,5544,3175,1408,178,0,2805,492,26,620,525,525,525,635,-2406,-5,-563,-51,-1390,-165,371,502,517,0,1000,1010,0,0,1,282.25,278.41,0.1,0.15,29.66,32.76,25.39,26.51,21.64,20.96,2.21,3.18,165.29,168.85,209.35,-213.75,4.04,106.13,969.38,90.93,908.13,16.5,-1.29,1.08,-0.57,-1.18,-1.15,-1.21,-0.72,-0.23,4.1,11,10.36,5.21,2.2,-2.18,163.16,1000.66,233.13,-598.68,-2.91,66.29,101.59,1013.9,88.05,950.49,26.97,-3.09,-1.62,-2.85,-3.85,-2.67,-2.12,-1.28,-0.1,6.09,11.93,10.46,4.26,1.19,-11.29,134.02,1049.36,-33,240,2,-20,6,3,65,51,-36,-9,37,-18,30,-23,43
MI11224E,0,0,2,65583,47,661,511,-6,0,1016,41,0,378,2206,4674,6669,7642,7194,5487,3173,1348,177,0,3126,412,25,584,499,499,499,616,-2406,-27,-563,-68,-1390,-159,277,468,495,0,997,1006,0,0,2,282.36,278.86,0.11,0.14,29.97,32.78,25.2,26.75,21.56,21.23,2.26,3.23,164.1,167.27,198.83,-221.32,3.84,107.92,992.94,92.67,939.8,16.83,-1.33,1.11,-0.52,-1.24,-1.1,-1.2,-0.74,-0.18,4.62,11.18,10.46,5.28,2.27,-2.09,163.67,1040.6,228.59,-569.55,-3.02,65.5,102.42,1025.16,89,960.36,27.47,-2.95,-1.53,-2.74,-3.81,-2.46,-2.01,-1.19,-0.06,6.38,12.01,10.48,4.28,1.32,-10.93,138.84,1057.88,10,190,16,-71,20,93,92,93,-83,26,32,-52,64,-10,80
MI11224S,0,0,1,65277,49,663,517,-7,0,788,43,0,312,1760,4112,6265,7399,6887,4982,2651,2351,163,0,1432,404,11,857,615,615,615,637,-2425,-113,-576,-207,-1399,-365,496,597,615,0,964,959,0,0,1,282.15,277.94,0.11,0.18,32.53,36.17,27.32,28.24,22.58,22.76,2.42,3.65,163.71,167.27,212.64,-177.99,3.99,107.52,979.86,91.34,905.71,16.42,-1.04,1.13,-0.49,-0.99,-0.97,-0.96,-0.69,-0.21,3.93,11.17,10.4,5.12,2.33,-1.52,155.16,1018.85,227.85,-560.03,-2.75,64.91,103.67,1024.57,88.13,957.56,27.22,-2.78,-1.73,-3.21,-3.41,-2.22,-1.79,-1.09,-0.06,6,11.97,10.48,4.18,1.31,-10.91,137.35,1054.88,9,244,71,-43,31,49,70,107,-40,30,51,-47,77,-10,55
MI11224W,0,0,1,65237,44,658,501,-12,0,844,42,0,326,1870,4270,6401,7508,7006,5135,2789,2573,166,0,1642,503,14,860,625,625,625,665,-2460,-116,-611,-211,-1439,-386,474,626,621,0,962,956,0,0,1,282.09,278.2,0.11,0.17,32.95,36.56,28.05,28.8,23.52,22.3,2.41,3.56,164.86,168.28,212.67,-177.15,3.94,105.47,965.57,89.85,904.74,16.62,-1.03,1.17,-0.48,-1.02,-1,-0.95,-0.66,-0.19,3.88,11.06,10.39,5.12,2.36,-1.59,155.75,1000.32,228.17,-546.71,-2.54,64.3,102.34,1006.32,87.16,947.83,26.76,-2.78,-1.64,-3.08,-3.32,-2.22,-1.78,-1.08,-0.07,5.85,11.93,10.48,4.21,1.29,-10.76,136.93,1038.99,-8,224,-53,-38,-44,83,95,113,-89,56,9,-6,66,-15,18
MI554N,0,0,1,65021,49,723,540,51,0,714,43,0,288,1610,3924,6140,7418,6853,4822,2466,1691,158,0,704,349,6,1040,727,727,754,713,-2602,-13,-668,-40,-1479,-322,664,632,735,2,970,971,0,0,1,282.19,278.04,0.1,0.17,34.58,40.54,29.29,31.28,25.08,24.32,2.52,3.92,160.02,163.77,204.8,-147.02,4.34,111.87,980.91,93.18,916.18,15.34,-0.83,1.42,-0.33,-0.78,-0.68,-0.8,-0.53,-0.16,4.67,10.94,10.31,5.16,2.52,-1.33,175.7,1033.31,226.56,-567.85,-4.66,76.31,109.29,1061.15,92.48,977.36,27.55,-3.06,-1.78,-3.75,-3.74,-2.46,-1.87,-1.02,0.02,7.84,12,10.32,4.14,1.41,-11.75,138.45,1081.03,-277,192,-36,-51,10,43,-56,32,-54,20,26,-80,-1,47,64
MI554E,0,0,1,65086,56,693,530,21,0,634,43,0,269,1451,3681,5908,7215,6635,4579,2264,1610,154,0,819,317,2,984,759,759,804,789,-2579,4,-666,-11,-1473,-278,827,707,778,0,979,986,0,0,1,282.04,277.72,0.11,0.17,32.45,39.92,27.12,28.93,23.07,21.93,2.37,4.13,159.08,163.36,209.11,-168.63,4.38,110.88,954.9,91.83,889.99,15.18,-1.09,1.32,-0.46,-0.84,-0.98,-1.02,-0.63,-0.18,5.01,10.8,10.17,5.06,2.39,-2.08,162.99,1005.73,226.95,-601.23,-5.03,77.81,111.44,1083.88,94.06,1009.66,27.77,-3.39,-1.88,-4.04,-3.93,-2.77,-2.06,-1.11,0.14,8.55,12.04,10.19,4.12,1.33,-11.97,141.14,1109.75,-225,202,-75,-7,-4,-34,-16,32,10,9,6,-50,-24,-33,67
MI554S,0,0,1,65024,59,722,526,50,0,646,43,0,271,1476,3721,5949,7259,6683,4648,2302,1524,153,0,643,251,1,1040,893,893,893,869,-2489,2,-524,1,-1304,-259,620,753,902,0,981,988,0,0,1,282.14,277.83,0.1,0.16,32.34,41.23,27.31,29.62,23.15,22.31,2.54,4.17,156.41,161.23,202.63,-163.44,4.5,114.32,962.76,93.66,888.48,14.78,-1.09,1.39,-0.33,-0.92,-0.97,-0.97,-0.59,-0.13,5.11,10.63,10.13,5.12,2.43,-2.07,170.64,1018.98,226.58,-598.87,-7.33,86.56,113.09,1103.46,96.02,1032.4,28.39,-3.52,-1.9,-4.47,-4.09,-2.87,-2.14,-1.1,0.21,9.18,12.11,10.26,4.13,1.4,-12.34,139.59,1134.02,-303,161,-226,-88,20,56,-53,5,-15,-32,16,-16,-30,18,31
