site,T1_mean,T3_mean,T1_mean_1,T1_mean_2,T1_mean_3,T1_mean_4,T1_mean_5,T1_mean_6,T1_mean_7,T1_mean_8,T1_mean_9,T1_mean_10,T1_mean_11,T1_mean_12,T3_mean_1,T3_mean_2,T3_mean_3,T3_mean_4,T3_mean_5,T3_mean_6,T3_mean_7,T3_mean_8,T3_mean_9,T3_mean_10,T3_mean_11,T3_mean_12,T1_min,T3_min,T1_max,T3_max,T1_TDD,T3_TDD,T1_GDD3,T3_GDD3,T1_GDD5,T3_GDD5,T1_FDD,T3_FDD,T1_TDD_days,T3_TDD_days,T1_GDD3_days,T3_GDD3_days,T1_GDD5_days,T3_GDD5_days,T1_FDD_days,T3_FDD_days,sos1,eos1,sos3,eos3,T1_ft,T3_ft,T3_frost,moist_mean_summer,moist_max_summer,moist_min_summer,moist_sd_summer,moist_cv_summer,moist_mean_july,moist_max_july,moist_min_july,moist_sd_july,moist_cv_july
AIL118,0.9934792636322154,-0.7327433343315082,-4.91131061827957,-6.007959918879056,-5.095387399193548,-2.1882819444444443,0.9980265793010752,8.316915538194444,10.91758093077957,10.106383014112904,4.387021875,0.20685344422043012,-1.7996534722222222,-3.4765617943548386,-9.42011839717742,-9.347978687315635,-7.631202906586021,-3.3387931423611112,1.6144288138440859,9.921091840277779,11.440222664650538,9.903475562836022,3.720636111111111,-2.324604284274194,-5.613684635416667,-8.234834038978494,-9.09649375,-20.6086,17.37085,27.565306250000006,1103.1993307291666,1189.0671705729167,1056.4246333333333,1140.78144609375,981.8989302083334,1061.9295627604167,-740.3310296875,-1456.7016734375002,151.25,153.75,121.75,121.75,103,102.25,214,211.5,137.25,281,143.5,276,14.75,159.25,-19.779375,17.596863281250002,24.675,13.232291666666667,2.4444051917827085,0.13891141578552227,17.90455309139785,22.46302083333333,14.374479166666667,2.3158494272786827,0.12934416265275678
AIL119,0.2851649544404517,-1.3287988392653434,-6.492089096102151,-6.954336578171092,-6.369063222446237,-2.250899240451389,1.6430917254704298,9.535385481770833,11.427113272849462,10.20850660702285,4.094340885416667,-1.0426393313172044,-4.295926041666667,-6.532033652553763,-9.964612735215054,-9.802532724926253,-8.114079301075268,-3.78145703125,0.8123990885416665,9.248579210069446,10.970333186323925,9.393069346438171,3.2693793402777778,-2.773626512096774,-6.2642578125,-9.439274613575268,-12.987696875000001,-21.769375,20.21830937500001,26.533909375000004,1161.6504821614583,1102.7316048177083,1122.957404296875,1056.7189518229166,1040.9806390625,969.1961588541667,-1057.4939825520835,-1588.075380859375,149.75,149,123.75,117.25,103.5,95.5,215.5,216.25,131,281,139,275.5,30.25,151.25,-25.62140625,12.673218168946091,20.154765625000003,8.349395833333334,2.6607931134978346,0.209954020993478,13.043064852150538,17.47203125,9.4535625,2.3609864381058894,0.18101469745560686
AIL120,1.7237527535363906,0.7269938540953684,-1.1235264784946237,-1.5256301069321534,-1.5888532594086022,-1.0603316840277777,-0.3834286122311828,3.455607986111111,8.921122379032258,8.9259421875,4.742771614583333,1.2464752016129033,-0.3041901909722222,-0.9111503864247311,-4.053028393817204,-4.074276364306785,-3.4839759744623655,-1.756174045138889,0.6540028561827957,8.832660590277778,10.84884282594086,9.216397849462366,3.1222547743055555,-2.4703146001344085,-3.84814453125,-4.579185567876344,-2.1216749999999998,-11.696796875,12.512309375000005,27.16,843.4887640625,1041.2288411458333,778.9516333333333,997.0699869791667,695.2054151041667,917.9052734375,-213.88807083333333,-775.6943359375,159.25,139.25,104,109.5,83,90.25,206,226,155.75,281,167.5,275.25,12.75,106.5,-6.609375,30.84119130499809,56.2609375,13.569270833333334,14.07753668326681,0.4564524289626069,27.67555443548387,39.34895833333333,17.896354166666665,6.0769304404186055,0.21957755009334678
AIL121,2.1077472436116813,1.3996397658567192,-1.0511809811827957,-1.003055936578171,-0.7777959845430108,-0.47121241319444446,-0.15014981518817205,4.657238107638889,7.956148487903226,8.294616649865592,5.692589670138889,2.596951999327957,0.23155451388888887,-0.9045285954301076,-3.4196488575268815,-2.466019081858407,-1.5119392641129032,-0.6447916666666667,1.012611307123656,9.896647135416666,11.78431619623656,9.990244875672044,4.375933159722222,-1.589875252016129,-5.084765625,-5.794974378360215,-1.9163187499999998,-16.075859375,10.091181250000002,27.979140625000007,914.2103182291667,1175.830078125,859.4236578125,1148.2805989583333,711.9816197916666,1064.7330729166667,-144.3556375,-664.6116536458333,170.75,140.5,129.75,122.5,95,102,194.5,224.75,151.25,284.5,156.75,279.5,3,88.25,-10.171875,34.85647416743017,58.56197916666667,15.134374999999999,15.749061387345106,0.45182600258694555,31.534895833333334,41.04895833333333,18.9375,8.726515506922702,0.276725680434895
AIL122,1.9640523400068446,1.7711031856034678,-0.45327200940860213,-0.7667311946902655,-0.9046223958333334,-0.7581922743055556,-0.35161500336021506,4.059809027777778,8.950688844086022,8.595650621639784,4.2721571180555555,1.1833627352150538,-0.15151909722222223,-0.36333375336021506,-2.505664012096774,-2.651861430678466,-2.2416981182795697,-1.3900344618055556,-0.0918220262096774,10.082328819444443,12.318197715053763,10.587592456317203,4.311495486111111,-1.4790133064516129,-2.9621590277777776,-3.021089499327957,-1.1305468749999998,-9.65219375,12.890234375000002,30.238743750000005,833.5364583333334,1183.6636187499998,790.591796875,1155.2770838541664,684.3557942708334,1092.9569984375,-116.16634114583334,-536.7681802083333,154.5,133.5,106.25,114.5,80.25,99,222.75,231.75,161.75,282.5,165.5,276.75,6.5,62.75,-2.287125,28.65027911803464,32.30893229166667,25.9296875,1.4414637150563123,0.05031237947517749,28.161861559139787,29.88645833333333,26.8609375,0.7738981709651928,0.027480362735965092
AIL123,0.9686833718343603,0.2297092716176134,-3.8324180947580646,-4.278865689528024,-3.607346690188172,-2.4380230034722223,-0.5729569892473119,6.0815625,9.959647597446239,9.661449512768819,4.8048046875,0.37281754032258063,-1.6491449652777779,-3.2484967237903226,-6.335417305107527,-6.47890313421829,-4.748366733870968,-2.9522103298611113,0.09202305107526876,10.266561371527779,12.092915608198926,10.35339527889785,4.0453265625,-2.326565238575269,-5.009100520833333,-6.663048773521505,-6.89328125,-15.567134375,14.844843750000003,28.7159125,974.4841666666669,1184.5320838541666,936.6395703125002,1153.7071197916666,842.5401953125001,1089.8455213541667,-620.6725651041667,-1100.6307723958334,138.5,138,116,116.25,93,100.5,226.75,227.25,151.5,281.25,156,276.25,4,90,-16.615725,17.51434601119255,25.511979166666666,9.6625,3.5551680710071936,0.2029860588991026,15.987819220430108,20.574479166666666,10.775,2.6941969503924135,0.16851560011071565
AIL124,2.0464493925393565,1.4440924095938854,-2.5179159106182794,-2.717851401179941,-2.100125672043011,-1.3127044270833332,-0.04986945564516131,8.020542100694444,11.153255544354838,10.424225386424732,5.051531684027778,0.9199096102150538,-0.8946922743055555,-1.7551365927419353,-4.468245967741936,-4.323135601032448,-2.9947286626344085,-1.5262912326388889,1.1970031081989247,10.88498263888889,12.25443128360215,10.483807963709678,4.045377604166666,-1.435483870967742,-3.1087890625,-4.045656922043011,-3.954546875,-11.383203125,17.518890625,31.606875000000002,1109.8579427083332,1227.7981770833335,1070.4856692708333,1196.4794921875,998.8401848958333,1127.0709635416667,-362.39230208333333,-700.3434244791667,143.75,141.75,120.5,120,102.75,102.75,221.5,223.5,148,282.25,149.75,276.25,6.75,106.25,-22.15625,19.759270653431965,24.810109375000003,14.067708333333332,2.5520928184726066,0.1291592621628135,19.091061827956988,22.731770833333336,15.446875,1.9319301832369917,0.10119553331537952
AIL125,1.7584034194615559,0.5462092536148181,-3.2708767011088713,-3.601873732485251,-3.186610803091398,-1.7689392361111111,0.44748750420026884,7.609553168402778,10.887925067204302,10.423685420866935,5.3938914930555555,1.1605972782258065,-1.0446362847222221,-2.323055905577957,-6.094649588373656,-5.5786825359513275,-4.515135559475806,-2.2457394531249997,1.3501479586693546,10.436542719184025,12.100958820564514,10.396022874663977,4.060759353298611,-2.263500184811828,-5.217117382812501,-6.26199417842742,-4.928671875,-14.252175,15.35125,29.32248124999999,1120.9681640625,1222.1529647786456,1083.8433951822917,1187.2162534505208,997.7442610677083,1115.3889710286458,-478.7113151041667,-1022.6500348958334,158,148.25,127,121.5,105.5,103.75,211,217,145.25,282.5,147.75,276.25,3.75,106.5,-13.388549999999999,31.184407395112814,38.950015625,20.4511875,4.017292611228799,0.12882375991080675,29.854276377688173,35.56980729166666,23.342854166666665,3.327181297783335,0.11144739385711354
AIL126,1.9953188277150353,1.285237209816336,-0.8003507224462365,-1.1296667588495575,-1.066332745295699,-0.6410915798611111,-0.20128738239247312,3.2024739583333335,8.768082157258064,8.98765646001344,5.207345920138889,1.8297316028225807,-0.016243489583333333,-0.4810882896505376,-4.502852536962365,-4.0693034845132745,-2.976054821908602,-1.41272421875,1.0945516969086022,10.525763194444444,12.00103796202957,10.15767123655914,3.794762760416667,-1.4185216397849463,-3.6677155381944444,-4.446537432795699,-1.58375,-10.980946874999999,12.260312500000001,32.582412500000004,865.4217122395833,1186.7360283854168,805.87744140625,1151.7588919270834,712.90478515625,1076.7427111979168,-136.63151041666669,-717.3031375,163.75,141,109.5,117.5,86.25,99,201.5,224.25,159.5,282.25,169,277.25,12.5,103,-8.723525,17.667224023981255,22.866526041666667,13.679166666666667,2.137421576159845,0.12098231013873698,17.08496303763441,20.21302083333333,14.806770833333335,1.5312119571754819,0.089623369614705
AIL127,1.224779153832991,0.807510061504418,-2.8285345262096775,-3.9831305309734515,-4.060525873655914,-2.444064670138889,-0.6980846774193549,5.499945746527778,9.084110383064516,9.06117691532258,4.789420572916667,1.2271190356182795,-0.23586154513888888,-1.088783182123656,-4.896195463709677,-5.557875147492625,-5.217253511424731,-2.7566366319444446,0.12223321572580649,10.004767447916667,11.523118947412634,9.722709526209679,3.21079944760101,-1.6084140456989247,-2.2278063368055556,-3.0326726982526884,-5.07359375,-8.875121875,12.737500000000002,30.319956250000004,916.6695963541666,1111.4577540364585,861.994140625,1080.2072233072918,774.623046875,1007.3222470052084,-469.3190104166667,-816.5147040719697,170.25,134,113.25,112.5,91.75,94.25,199.25,231.25,151,282.25,159,275.5,5,91.75,-15.0883,26.01926647428093,33.24270833333333,17.997916666666665,3.269060434771047,0.12563999211900884,24.769640456989247,29.227604166666666,20.013020833333332,2.649822592655748,0.10697864578442226
